Node,Betweenness Centrality
Van Cortlandt Park-242 St,0.0
238 St,0.005013
231 St,0.01
Marble Hill-225 St,0.014962
215 St,0.019899
207 St,0.024811
Dyckman St and Nagle Av,0.029697
191 St,0.034559
181 St and St Nicholas Av,0.039395
168 St-Washington Hts,0.044206
157 St,0.048992
145 St and Broadway,0.053752
137 St-City College,0.058488
125 St and Broadway,0.063198
116 St-Columbia University,0.067883
Cathedral Pkwy (110 St) and Broadway,0.072543
103 St and Broadway,0.077178
96 St and Broadway,0.100345
86 St and Broadway,0.000313
79 St and Broadway,0.002016
72 St and Broadway,0.098624
66 St-Lincoln Center,0.007745
59 St-Columbus Circle,0.12218
50 St and Broadway,0.061181
Times Sq-42 St,0.257345
34 St-Penn Station,0.078547
28 St and 7th Av,0.00372
23 St and 7th Av,1.3e-05
18 St,0.00128
14 St and 6 Av,0.063735
Christopher St-Sheridan Sq,0.005196
Houston St,0.001234
Canal St and Varick St,0.001025
Franklin St,0.004779
Chambers St and West Broadway,0.062184
WTC Cortlandt,0.043826
Rector St,0.111329
South Ferry,0.099974
Wakefield-241 St,0.0
Nereid Av,0.005013
233 St,0.01
225 St,0.014962
219 St,0.019899
Gun Hill Rd and White Plains Rd,0.024811
Burke Av,0.029697
Allerton Av,0.034559
Pelham Pkwy and White Plains Rd,0.039395
Bronx Park East,0.044206
E 180 St,0.073173
West Farms Sq-E Tremont Av,0.077178
174 St,0.081787
Freeman St,0.086372
Simpson St,0.090931
Intervale Av,0.095465
Prospect Av and Westchester Av,0.099974
Jackson Av,0.104457
3 Av-149 St,0.108916
149 St-Grand Concourse,0.194815
135 St and Lenox Av,0.028553
125 St and Malcom X Blvd,0.021183
116 St and Malcom X Blvd,0.023868
Central Park North (110 St),0.026832
Park Place,0.015871
Fulton St,0.045441
Wall St and William St,0.003975
Clark St,0.000604
Borough Hall,0.003433
Hoyt St,0.0
Nevins St,0.012565
Atlantic Av-Barclays Ctr,0.336654
Bergen St and Flatbush Av,0.004811
Grand Army Plaza,1.3e-05
Eastern Pkwy-Brooklyn Museum,0.000189
Franklin Av-Medgar Evers College,0.069869
President St-Medgar Evers College,0.012038
Sterling St,0.007542
Winthrop St,0.003167
Church Av and Nostrand Av,0.001068
Beverly Rd,0.015585
Newkirk Av-Little Haiti,0.005013
Flatbush Av-Brooklyn College,0.0
Harlem-148 St,0.0
Lenox Av and W 145 St,0.005013
Nostrand Av and Eastern Pkwy,0.002456
Kingston Av,5e-05
Crown Hts-Utica Av,0.037015
Sutter Av-Rutland Rd,0.029697
